epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.81,2.1367,3.81977,1.84786,0.49749,0.21906,0.18593,0.08197,2.00028,2.42968,1.68252,0.00332985,0.00332985,0.00332985
2,439.719,2.03568,2.93639,1.74005,0.48682,0.21777,0.18757,0.08236,2.06888,2.55708,1.82302,0.006663,0.006663,0.006663
3,648.343,2.11144,2.82238,1.82219,0.37103,0.20956,0.16289,0.07083,2.09351,2.54515,1.82658,0.00999543,0.00999543,0.00999543
4,856.67,2.08731,2.65593,1.8243,0.41417,0.24706,0.22424,0.10065,2.01923,2.35639,1.83506,0.00999756,0.00999756,0.00999756
5,1064.82,2.02297,2.51563,1.77172,0.4436,0.26338,0.25316,0.11963,1.95915,2.19318,1.76206,0.00999566,0.00999566,0.00999566
6,1272.92,1.98572,2.42636,1.74363,0.47434,0.28632,0.2871,0.13595,1.89438,2.09517,1.69211,0.00999322,0.00999322,0.00999322
7,1480.37,1.95986,2.36329,1.72142,0.34674,0.29878,0.29334,0.14236,1.89033,2.07358,1.71276,0.00999023,0.00999023,0.00999023
8,1684.42,1.92514,2.30326,1.69036,0.47041,0.31612,0.31097,0.15056,1.87377,1.99741,1.68982,0.00998671,0.00998671,0.00998671
9,1887.04,1.92005,2.26454,1.68462,0.51386,0.31547,0.32961,0.1656,1.8378,1.94987,1.63863,0.00998264,0.00998264,0.00998264
10,2094.67,1.88907,2.23371,1.66806,0.50682,0.326,0.33573,0.16988,1.81771,1.91636,1.6379,0.00997803,0.00997803,0.00997803
11,2302.15,1.87959,2.20354,1.65693,0.53183,0.33166,0.34658,0.17688,1.80772,1.89389,1.61822,0.00997288,0.00997288,0.00997288
12,2509.5,1.86676,2.16384,1.64559,0.46069,0.34225,0.35187,0.17892,1.80089,1.8602,1.60973,0.0099672,0.0099672,0.0099672
13,2716.83,1.85601,2.14101,1.63283,0.49068,0.35163,0.36674,0.18878,1.79088,1.84747,1.59677,0.00996097,0.00996097,0.00996097
14,2923.74,1.84426,2.11999,1.62673,0.51675,0.35047,0.35418,0.18271,1.79055,1.83702,1.60306,0.0099542,0.0099542,0.0099542
15,3131.53,1.83118,2.09594,1.61425,0.52751,0.36264,0.37717,0.19588,1.77364,1.7957,1.58614,0.0099469,0.0099469,0.0099469
16,3338.58,1.83303,2.07435,1.61099,0.55233,0.36204,0.38731,0.20291,1.7513,1.76842,1.57203,0.00993906,0.00993906,0.00993906
17,3545.96,1.8223,2.0555,1.60137,0.48328,0.37841,0.39564,0.2076,1.73918,1.74803,1.56492,0.00993068,0.00993068,0.00993068
18,3753.24,1.81778,2.04299,1.6054,0.46417,0.39578,0.39748,0.20836,1.74384,1.73892,1.56662,0.00992177,0.00992177,0.00992177
19,3960.68,1.812,2.02686,1.59299,0.49691,0.38714,0.40689,0.21653,1.7342,1.72427,1.55151,0.00991232,0.00991232,0.00991232
20,4167.29,1.80481,2.01676,1.58881,0.49395,0.39388,0.41059,0.21984,1.72352,1.70309,1.54943,0.00990234,0.00990234,0.00990234
21,4374.3,1.79608,1.99586,1.58114,0.50085,0.40372,0.42009,0.22541,1.72189,1.69102,1.54692,0.00989183,0.00989183,0.00989183
22,4581.74,1.78921,1.98664,1.57959,0.50062,0.39566,0.41632,0.2237,1.71333,1.69057,1.54058,0.00988079,0.00988079,0.00988079
23,4788.73,1.78798,1.97589,1.5745,0.5105,0.40253,0.42233,0.22815,1.70961,1.66443,1.52812,0.00986922,0.00986922,0.00986922
24,4995.78,1.77805,1.9691,1.57085,0.50158,0.41309,0.42673,0.2322,1.70603,1.65416,1.52838,0.00985711,0.00985711,0.00985711
25,5202.75,1.77722,1.95444,1.56409,0.50652,0.41583,0.43297,0.23511,1.69728,1.64292,1.52306,0.00984449,0.00984449,0.00984449
26,5409.99,1.77224,1.9377,1.55638,0.50897,0.41772,0.43661,0.23658,1.70062,1.63091,1.5145,0.00983133,0.00983133,0.00983133
27,5616.97,1.77372,1.92813,1.56058,0.51846,0.4143,0.43831,0.23896,1.69746,1.62789,1.51858,0.00981765,0.00981765,0.00981765
28,5824.35,1.76467,1.92929,1.55435,0.52319,0.41035,0.44029,0.23923,1.69133,1.62364,1.50946,0.00980345,0.00980345,0.00980345
29,6031.43,1.75769,1.90639,1.54684,0.51871,0.41747,0.44462,0.2412,1.68586,1.60827,1.50859,0.00978873,0.00978873,0.00978873
30,6238.38,1.75525,1.89499,1.54175,0.50515,0.43213,0.44475,0.24282,1.68639,1.60737,1.50509,0.00977349,0.00977349,0.00977349
31,6445.49,1.74934,1.88808,1.53963,0.51187,0.42675,0.44587,0.24466,1.68563,1.59924,1.50356,0.00975773,0.00975773,0.00975773
32,6652.65,1.75331,1.87584,1.53687,0.52509,0.42069,0.44817,0.24629,1.6802,1.59018,1.50096,0.00974145,0.00974145,0.00974145
33,6859.71,1.7433,1.86994,1.53224,0.52513,0.41833,0.44767,0.24621,1.67973,1.58721,1.49822,0.00972466,0.00972466,0.00972466
34,7066.46,1.73939,1.86835,1.53238,0.51733,0.42473,0.44974,0.24757,1.67872,1.58474,1.4978,0.00970736,0.00970736,0.00970736
35,7273.1,1.74639,1.86166,1.5283,0.52072,0.42809,0.45194,0.2481,1.68039,1.57927,1.49561,0.00968955,0.00968955,0.00968955
36,7479.88,1.73641,1.85055,1.52618,0.62355,0.43795,0.45301,0.24845,1.68096,1.58016,1.49807,0.00967122,0.00967122,0.00967122
37,7686.65,1.7323,1.84011,1.52158,0.61598,0.43885,0.45582,0.24949,1.67943,1.57391,1.49395,0.00965239,0.00965239,0.00965239
38,7893.5,1.733,1.83888,1.5229,0.62525,0.4326,0.45824,0.25113,1.67716,1.56667,1.49312,0.00963306,0.00963306,0.00963306
39,8100.8,1.72382,1.83025,1.51885,0.61546,0.43737,0.45947,0.25223,1.67556,1.56405,1.49309,0.00961322,0.00961322,0.00961322
40,8307.94,1.72701,1.82292,1.51566,0.61624,0.44884,0.46334,0.25406,1.67366,1.55817,1.4906,0.00959289,0.00959289,0.00959289
41,8514.67,1.72935,1.82662,1.51753,0.615,0.44883,0.46309,0.25422,1.67209,1.55673,1.48902,0.00957205,0.00957205,0.00957205
42,8722.2,1.72345,1.81362,1.51271,0.60873,0.44771,0.4651,0.25549,1.67045,1.555,1.48834,0.00955072,0.00955072,0.00955072
43,8929.36,1.72031,1.80679,1.50719,0.61873,0.44349,0.46539,0.25619,1.66899,1.55238,1.4865,0.00952889,0.00952889,0.00952889
44,9136.24,1.70786,1.78437,1.50464,0.61471,0.45157,0.46578,0.25626,1.67008,1.54918,1.48727,0.00950658,0.00950658,0.00950658
45,9343.04,1.71098,1.7913,1.50366,0.61503,0.44865,0.46546,0.2569,1.67028,1.54567,1.48711,0.00948377,0.00948377,0.00948377
46,9550.09,1.71539,1.78559,1.50217,0.60505,0.45216,0.46506,0.2572,1.67079,1.54379,1.4873,0.00946048,0.00946048,0.00946048
47,9756.9,1.71256,1.78731,1.50355,0.6058,0.45499,0.46481,0.25744,1.67111,1.54193,1.48699,0.00943671,0.00943671,0.00943671
48,9963.88,1.7032,1.76648,1.49211,0.60449,0.45776,0.46501,0.25719,1.67084,1.54077,1.486,0.00941245,0.00941245,0.00941245
49,10170.8,1.70248,1.76763,1.48965,0.61472,0.45106,0.46567,0.25718,1.67051,1.53905,1.48485,0.00938772,0.00938772,0.00938772
50,10377.4,1.70264,1.75557,1.4899,0.62158,0.44574,0.46633,0.25737,1.67014,1.53781,1.48373,0.00936251,0.00936251,0.00936251
51,10584.4,1.6942,1.75051,1.485,0.6278,0.44611,0.46713,0.25736,1.66941,1.53566,1.48255,0.00933683,0.00933683,0.00933683
52,10791.3,1.70049,1.74982,1.48687,0.6283,0.44566,0.46773,0.25817,1.6695,1.53465,1.48255,0.00931067,0.00931067,0.00931067
53,10998.1,1.69831,1.75343,1.48624,0.6216,0.45006,0.46838,0.2583,1.66944,1.53341,1.48206,0.00928405,0.00928405,0.00928405
